,,,,,,,,,
,2022-07-18,카카오_선물하," ₩ 15,000 ",,"₩9,467,523",1학기 중간고사 야식사업,"BBQ 황금올리브 반마리+치즈스틱+콜라1.25L 15,000 환불",○,
,2022-08-16,선물하기_카카," ₩ 4,500 ",,"₩9,472,023",졸업생 토크 콘서트,스타벅스 아이스 카페 아메리카노 T 4500 환불,○,D
,2022-08-23,선물하기_카카," ₩ 27,000 ",,"₩9,499,023",5월 문화사업,쥬씨 초코바나나 M 1800*15 환불,○,E
,2022-08-23,쿠팡,," ₩ 62,170 ","₩9,436,853",문과대 MT,"아트모아 스케치북 8P/30매/8절,
폴리천 방송 촬영 배경천 크로마키 스크린 1개,
자바펜 파워 유성매직 12개입
문구조아 철사열쇠고리 1봉
희망노트사 검정 도화지 50개(8절)",○,
,2022-08-23,쿠팡,," ₩ 53,490 ","₩9,383,363",문과대 MT,"아트모아 스케치북 8p/30매/8절*2
폴리천 방송 촬영 배경천 크로마키 스크린 1개
자바펜 파워 유성매직 12개입",○,
,2022-08-23,쿠팡," ₩ 40,510 ",,"₩9,423,873",문과대 MT,"결재 취소 (아트모아 스케치북 8P/30매/8절
폴리천 방송 촬영 배경천 크로마키 스크린 1개
자바펜 파워 유성매직 12개입)",○,
,2022-08-24,박채연," ₩ 23,400 ",,"₩9,447,273",5월 문화사업,쥬씨 초코바나나 M 1800*13 환불,○,
,2022-08-25,선물하기_카카," ₩ 16,800 ",,"₩9,464,073",5월 문화사업,투썸플레이스 딸기 생크림 피스 5600*3 환불,○,
,2022-08-26,박인호,," ₩ 300,000 ","₩9,164,073",문과대 MT,문과대 MT 지원금,△,
,2022-08-26,그랜드푸드(GRA,," ₩ 93,000 ","₩9,071,073",문과대 MT,"말리부, 바카디, 모히또 문과대 MT 우승 상품",○,
,2022-08-27,케이-슈퍼마켓,," ₩ 31,800 ","₩9,039,273",문과대 MT,앱솔루트 보드카 피치 문과대 MT 우승 상품,○,
,2022-08-27,박인호,," ₩ 300,000 ","₩8,739,273",문과대 MT,문과대 MT 지원금,△,
,2022-08-27,(PG)이니시스,," ₩ 36,800 ","₩8,702,473",문과대 MT,현수막,○,
,2022-08-28,박인호,," ₩ 250,000 ","₩8,452,473",문과대 MT,문과대 MT 지원금,△,
,2022-08-28,쿠팡,," ₩ 35,800 ","₩8,416,673",문과대 MT,로이체 무선 블루투스 마이크+파우치(BTS-30KM)*2,○,
,2022-08-29,이랜드리테일,," ₩ 39,800 ","₩8,376,873",문과대 MT,6w블루투스마이크로 19900*2,○,
,2022-08-30,쿠팡," ₩ 30,800 ",,"₩8,407,673",문과대 MT,로이체 무선 블루투스 마이크+파우치(BTS-30KM)*2 반품,○,
,2022-09-08,18 이은비," ₩ 20,000 ",,"₩8,427,673",학생회비 납부,18학번 이x비,△,
,2022-09-12,(PG)이니시스,," ₩ 38,000 ","₩8,389,673",경상체전,현수막,○,
,2022-09-12,제일문화사,," ₩ 7,000 ","₩8,382,673",제휴사업,제휴 포스터 B4*3장,○,
,2022-09-13,한양사,," ₩ 2,000 ","₩8,380,673",경상체전,경상체전 포스터 A3 1000*2,○,
,2022-09-14,쿠팡,," ₩ 60,500 ","₩8,320,173",경상체전,"포카리스웨트 340ml 20개*3
파워에이드 마운틴 블라스트 355ml 20개",○,
,2022-09-14,쿠팡,," ₩ 45,950 ","₩8,274,223",경상체전,"포카리스웨트 340ml 20개*2
파워에이드 마운틴 블라스트 355ml 20개",○,
,2022-09-14,쿠팡," ₩ 16,850 ",,"₩8,291,073",경상체전,주문취소 (파워에이드 마운틴 블라스트 355ml 20개),○,
,2022-09-14,쿠팡," ₩ 43,650 ",,"₩8,334,723",경상체전,주문취소 (포카리스웨트 340ml 20개*3),○,
,2022-09-15,신디도넛(CINDY,," ₩ 249,600 ","₩8,085,123",경상체전,"경상체전 간식(신디도넛 글레이즈 47개, 스트로베리 50개)",○,
,2022-09-17,06.18~09.16," ₩ 1,975 ",,"₩8,087,098",예금이자,예금이자,△,
,2022-09-20,한양사,," ₩ 1,700 ","₩8,085,398",제휴사업,제휴 포스터 B4 1700*1,○,
,2022-09-28,선물하기_카카,," ₩ 7,800 ","₩8,077,598",2학기 졸업생 토크 콘서트,팔공티 딸기요거트스무디 3900,○,F
,2022-10-04,육앤샤,," ₩ 570,000 ","₩7,507,598",2학기 중간고사 야식사업,"육앤샤 15,000원 상품권(38장)",○,
,2022-10-05,투파인드피터,," ₩ 570,000 ","₩6,937,598",2학기 중간고사 야식사업,"투 파인드 피터 15,000원 상품권(38장)",○,
,2022-10-07,한양사,," ₩ 8,500 ","₩6,929,098",2학기 중간고사 야식사업,포스터 A2 4000 1장,○,
,2022-10-11,한양사,," ₩ 4,000 ","₩6,925,098",2학기 중간고사 야식사업,쿠폰 A4 500 8장,○,
,2022-10-21,쿠팡,," ₩ 184,470 ","₩6,740,628",할로윈 간식사업,"후르츠텔라 요구르트향 츄잉캔디 590g 7570*2
하리보 골드바렌 1000g 11850*2
삼립 누네띠네 12g 120개입 20200
자유시간 mini 초콜릿 38p 380g 7980*3
포테이토 크리스프 스낵 바베큐맛 20gX50p 11900
롯데제과 롯데초코파이 336g 8개 19330
팝락스 팝핑캔디 버라이어티 5종 캔디 150p 15000
이멕스무역 맥주사탕 10개 2980*8
할로윈 종이봉투(50p) 4800*2",○,
,2022-10-29,선후배교류사업,," ₩ 60,000 ","₩6,680,628",선후배교류사업,선후배 교류 지원금,○,
,2022-10-29,선후배교류사업,," ₩ 50,000 ","₩6,630,628",선후배교류사업,선후배 교류 지원금,○,
,2022-10-29,선후배교류사업,," ₩ 50,000 ","₩6,580,628",선후배교류사업,선후배 교류 지원금,○,
,2022-10-29,선물하기_카카,," ₩ 120,000 ","₩6,460,628",선후배교류사업,BHC 뿌링클+콜라1.25L 20000*6,○,G
,2022-10-29,선물하기_카카,," ₩ 44,500 ","₩6,416,128",선후배교류사업,베스킨라빈스 파인트 아이스크림 8900*5,○,
,2022-10-29,선물하기_카카,," ₩ 60,000 ","₩6,356,128",선후배교류사업,CGV 2D 영화관람권 12000*5,○,
,2022-10-31,한양사,," ₩ 9,000 ","₩6,347,128",E-스포츠 대회,포스터 A2 9000 1장,○,
,2022-11-23,박상희(펀코리아),," ₩ 475,000 ","₩5,872,128",경상인의 낮,"골드팝콘카라멜 B세트 97000
팝콘+솜사탕기계 200000
전통 참붕어뻥기계 1박2일 대여 178000",○,
,2022-11-23,쓰리팝 PC Cafe,," ₩ 3,000 ","₩5,869,128",E-스포츠 대회,PC방 사용료 1시간 3000,○,
,2022-11-23,쓰리팝 PC Cafe,," ₩ 3,000 ","₩5,866,128",E-스포츠 대회,PC방 사용료 1시간 3000,○,
,2022-11-24,네이버페이,," ₩ 16,300 ","₩5,849,828",경상인의 낮,확률조절 대광이 하트 400개 13300,○,
,2022-11-24,카카오_카카오,," ₩ 49,000 ","₩5,800,828",경상인의 낮,M35 필름 다회용 토이카메라+코닥 컬러필름 1롤 set 49000,○,
,2022-11-24,카카오_카카오," ₩ 49,000 ",,"₩5,849,828",경상인의 낮,M35 필름 다회용 토이카메라+코닥 컬러필름 1롤 set 49000 환불,○,
,2022-11-26,쿠팡,," ₩ 13,900 ","₩5,835,928",경상인의 낮,땡쓰몰 토끼봉투 캐릭터포장비닐 노랑오리 M 50매 5450*2,○,
,2022-11-26,카카오_카카오,," ₩ 39,000 ","₩5,796,928",경상인의 낮,버츠비 모이스처라이징 립밤 2개 7800*5,○,
,2022-11-26,카카오_카카오,," ₩ 79,000 ","₩5,717,928",경상인의 낮,빈크루즈 가정용 커피머신+추가 3종 풀패키지 79000,○,
,2022-11-26,카카오_카카오,," ₩ 99,500 ","₩5,618,428",경상인의 낮,F/W 제이로렌 남녀 머플러 19900*5,○,
,2022-11-29,한양사,," ₩ 18,000 ","₩5,600,428",경상인의 낮,포스터 A2 9000*2,○,
,2022-11-29,한양사,," ₩ 2,700 ","₩5,597,728",경상인의 낮,간식교환권 100장 A4 ,○,
,2022-11-29,카카오페이,," ₩ 50,000 ","₩5,547,728",E-스포츠 대회,루미큐브 1등(카카오페이상품권 5만원권 50000),○,H
,2022-11-29,카카오페이,," ₩ 30,000 ","₩5,517,728",E-스포츠 대회,루미큐브 2등(요기요 상품권 3만원권 30000),○,
,2022-11-29,카카오페이,," ₩ 20,000 ","₩5,497,728",E-스포츠 대회,루미큐브 3등(요기요 상품권 2만원권 20000),○,
,2022-11-30,한양사,," ₩ 8,500 ","₩5,489,228",경상인의 낮,소축제 웹자보 A2 1장,○,
,2022-12-01,기찬고기 한양,," ₩ 900,000 ","₩4,589,228",2학기 기말고사 야식사업,"기찬고기 15,000원 쿠폰(60장)",○,
,2022-12-05,한양사,," ₩ 16,000 ","₩4,573,228",2학기 기말고사 야식사업,야식사업 웹자보 A2 8000*2,○,
,2022-12-06,한양사,," ₩ 4,000 ","₩4,569,228",2학기 기말고사 야식사업,야식사업 쿠폰 A4 두꺼운 용지 500*8,○,
,2022-12-07,쿠팡,," ₩ 136,750 ","₩4,432,478",12월 연말사업,"머리띠 6종 세트 8500
대형 패브릭 포스터 a타입 L사이즈 4420
파티팡 은박 풍선세트(MERRY CHRISTMAS) 3950
인스탁스 즉석 미니필름 100p+포토라인+1단 미니앨범 102600",○,
,2022-12-07,카카오_카카오,," ₩ 359,000 ","₩4,073,478",12월 연말사업,Apple 애플워치 SE 2세대 40mm GPS 알루미늄+스포츠밴드 359000,○,
,2022-12-07,카카오_카카오,," ₩ 190,000 ","₩3,883,478",12월 연말사업,MARSHALL MAJOR 4 블루투스 헤드폰 블랙 190000,○,
,2022-12-12,한양사,," ₩ 1,800 ","₩3,881,678",12월 연말사업,연말사업 카드뉴스 A4 300*6,○,
,2022-12-13,GS25 안산한양,," ₩ 3,700 ","₩3,877,978",12월 연말사업,고성능AA 2입 3700,○,
,2022-12-13,문화사업 상금,," ₩ 186,000 ","₩3,691,978",E-스포츠 대회,롤 1등 (최대 20만원 영수증 제출 시 환급),○,
,2022-12-14,맘스터치 (고잔,," ₩ 528,000 ","₩3,163,978",2학기 기말고사 야식사업,맘스터치 싸이버거 세트 6600*80,○,
,2022-12-16,쿠팡,," ₩ 55,700 ","₩3,108,278",학생회실 비품 구비,"코멧 투명 박스테이프 10개 14990
피스코리아 편한 호치키스 50+리필33호침 2p 세트 7200
코멧 아기물티슈 오리지널 캡형 100매 10팩 11490
스카치 투명 양면 테이프 디스펜서 136 4개 9320
오성정밀 접지 스위치 멀티탭 5구 1.5m 1개 6350",○,
,2022-12-17,09.17~12.16," ₩ 1,342 ",,"₩3,109,620",예금이자,예금이자,△,
,2022-12-24,(주)우아한형,," ₩ 50,000 ","₩3,059,620",12월 연말사업,배민상품권 10000*5,○,
,2022-12-31,박영민 컴활,," ₩ 20,750 ","₩3,038,870",자격증 응시료 지원사업,컴퓨터활용능력 응시료 지원 20750,△,
